,file_label,variable,dtype,dimensions,shape,units,long_name
277,Model output,bc_a4_SRF,float32,"time, ncol",1249 x 1,kg/kg,bc_a4 in bottom layer
278,Model output,chla,float32,"time, ncol",1249 x 1,mg L-1,ocean input data: chla
279,Model output,diag_equiv_reflectivity,float32,"time, lev, ncol",1249 x 80 x 1,dBz,Equivalent reflectivity (rain + ice)
280,Model output,diag_ze_ice,float32,"time, lev, ncol",1249 x 80 x 1,dBz,Equivalent reflectivity ice
281,Model output,diag_ze_rain,float32,"time, lev, ncol",1249 x 80 x 1,dBz,Equivalent reflectivity rain
282,Model output,dst_a1_SRF,float32,"time, ncol",1249 x 1,kg/kg,dst_a1 in bottom layer
283,Model output,dst_a3_SRF,float32,"time, ncol",1249 x 1,kg/kg,dst_a3 in bottom layer
284,Model output,hstobie_linoz,float32,"time, lev, ncol",1249 x 80 x 1,fraction of model time,Lowest possible Linoz level
285,Model output,liq_ice_exchange,float32,"time, lev, ncol",1249 x 80 x 1,kg/kg/s,Tendency for conversion from/to liquid phase to/from frozen phase
286,Model output,mlip,float32,"time, ncol",1249 x 1,uM C,ocean input data: mlip
287,Model output,mom_a1_SRF,float32,"time, ncol",1249 x 1,kg/kg,mom_a1 in bottom layer
288,Model output,mom_a2_SRF,float32,"time, ncol",1249 x 1,kg/kg,mom_a2 in bottom layer
289,Model output,mom_a3_SRF,float32,"time, ncol",1249 x 1,kg/kg,mom_a3 in bottom layer
290,Model output,mom_a4_SRF,float32,"time, ncol",1249 x 1,kg/kg,mom_a4 in bottom layer
291,Model output,mpoly,float32,"time, ncol",1249 x 1,uM C,ocean input data: mpoly
292,Model output,mprot,float32,"time, ncol",1249 x 1,uM C,ocean input data: mprot
293,Model output,ncl_a1_SRF,float32,"time, ncol",1249 x 1,kg/kg,ncl_a1 in bottom layer
294,Model output,ncl_a2_SRF,float32,"time, ncol",1249 x 1,kg/kg,ncl_a2 in bottom layer
295,Model output,ncl_a3_SRF,float32,"time, ncol",1249 x 1,kg/kg,ncl_a3 in bottom layer
296,Model output,num_a1_SRF,float32,"time, ncol",1249 x 1, 1/kg,num_a1 in bottom layer
297,Model output,num_a2_SRF,float32,"time, ncol",1249 x 1, 1/kg,num_a2 in bottom layer
298,Model output,num_a3_SRF,float32,"time, ncol",1249 x 1, 1/kg,num_a3 in bottom layer
299,Model output,num_a4_SRF,float32,"time, ncol",1249 x 1, 1/kg,num_a4 in bottom layer
300,Model output,num_a5_SRF,float32,"time, ncol",1249 x 1, 1/kg,num_a5 in bottom layer
301,Model output,pom_a1_SRF,float32,"time, ncol",1249 x 1,kg/kg,pom_a1 in bottom layer
302,Model output,pom_a3_SRF,float32,"time, ncol",1249 x 1,kg/kg,pom_a3 in bottom layer
303,Model output,pom_a4_SRF,float32,"time, ncol",1249 x 1,kg/kg,pom_a4 in bottom layer
304,Model output,so4_a1_SRF,float32,"time, ncol",1249 x 1,kg/kg,so4_a1 in bottom layer
305,Model output,so4_a2_SRF,float32,"time, ncol",1249 x 1,kg/kg,so4_a2 in bottom layer
306,Model output,so4_a3_SRF,float32,"time, ncol",1249 x 1,kg/kg,so4_a3 in bottom layer
307,Model output,so4_a5_SRF,float32,"time, ncol",1249 x 1,kg/kg,so4_a5 in bottom layer
308,Model output,soa_a1_SRF,float32,"time, ncol",1249 x 1,kg/kg,soa_a1 in bottom layer
309,Model output,soa_a2_SRF,float32,"time, ncol",1249 x 1,kg/kg,soa_a2 in bottom layer
310,Model output,soa_a3_SRF,float32,"time, ncol",1249 x 1,kg/kg,soa_a3 in bottom layer
311,Model output,vap_ice_exchange,float32,"time, lev, ncol",1249 x 80 x 1,kg/kg/s,Tendency for conversion from/to vapor phase to/from frozen phase
312,Model output,vap_liq_exchange,float32,"time, lev, ncol",1249 x 80 x 1,kg/kg/s,Tendency for conversion from/to vapor phase to/from liquid phase
313,Model output,vap_liq_exchange_clubb,float32,"time, lev, ncol",1249 x 80 x 1,kg/kg/s,Tendency for conversion from/to vapor to liquid phase in CLUBB
